sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2812344,Initial Access,Exploitation of Vulnerability,TA0041,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in a web browser (CVE-2015-2452) which aligns with initial access tactics, as attackers often exploit client-side vulnerabilities to gain access to systems.",ext to int,CVE-2015-2452,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2441.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability (CVE-2015-2452) that can lead to successful compromise of client endpoints, indicating a significant security threat.","memory,vulnerability,exploit,web,Web_Client_Attacks**"
2812369,Initial Access,Command and Control,C2,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which can indicate the use of TOR for potential command and control communications. This behavior may suggest initial access or an ongoing connection to a C2 infrastructure.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate potential use of TOR for malicious purposes. However, it does not confirm a successful compromise, thus the impact score remains low.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812370,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which is commonly associated with Tor usage. This behavior could indicate the presence of a command and control channel, as malware may use Tor for communication. While not inherently malicious, it raises concerns about potential unauthorized activity or compromise.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate potential use of TOR for C2 or policy violation. However, it does not confirm a successful compromise.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812371,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to .onion domains, which are often associated with Tor usage that can facilitate command and control activities. This behavior could indicate potential misuse of the network for malicious purposes, such as communicating with compromised systems.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate the use of TOR for potentially malicious purposes. However, this does not confirm a successful compromise, thus a lower impact score.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812372,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The detection of DNS queries to .onion domains indicates potential use of TOR for command and control activities, as malicious actors may leverage TOR to obscure their communications.",ext to int,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a Tor proxy domain, which may indicate potential misuse of Tor for C2 activities. However, it does not confirm a successful compromise, hence a lower impact score.","dns,tor,anomaly,policy,DNS_Onion_Query**"
2812380,Initial Access,Exploit Public-Facing Application,T1190,Exploitation of Remote Services,T1210,"The rule detects unauthenticated WinRM requests, indicating potential exploitation attempts against a public-facing application, which aligns with initial access tactics.",any to int,,,,,,6,Insider Threats,"The rule detects unauthenticated access to WinRM, which could indicate a successful compromise if exploited, warranting a moderate impact score.","unauth,http,anomaly,policy"
2812427,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests that are characteristic of mobile malware communicating with a command and control server, indicating potential exfiltration of data over this channel.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a successful check-in from a mobile malware agent, indicating potential compromise of mobile devices and communication with a command and control server.","mobile,trojan,c2,exfiltration,Android**"
2812437,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The DNS query to a .onion domain indicates potential use of Tor for command and control, as it may facilitate communication with a remote attacker while bypassing traditional security measures.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which could indicate potential use of TOR for C2. However, it does not confirm a successful compromise, hence a lower impact score.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812438,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which can indicate the use of Tor for command and control activities. While not inherently malicious, this behavior is often associated with malware leveraging Tor to communicate with external servers.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate the use of TOR. While this could suggest potential malicious activity, it does not confirm a successful compromise and is often against acceptable use policies rather than an immediate threat.","dns,anomaly,policy,tor,DNS_Onion_Query**"
2812466,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests that indicate a mobile malware's communication with a command and control server, specifically monitoring for lost check-ins from Android devices, which aligns with the Command and Control phase of an attack.",int to ext,,,,,,7,Command and Control (C2),"The rule indicates a successful compromise with potential data exfiltration from mobile devices, which can lead to severe security incidents.","mobile,trojan,c2,exfiltration,Android**"
2812475,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over Command and Control Channel,T1041,"The rule detects a mobile malware variant that communicates with a command and control server, indicating potential data exfiltration via HTTP POST requests.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a Trojan banker malware targeting Android devices, indicating a potential compromise of mobile clients.","trojan,mobile,c2,exfiltration,Android**"
2812476,Collection and Exfiltration,Command and Control,TA0037,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware's check-in behavior, specifically targeting the exfiltration of sensitive data (e.g., phone number, IMEI) over a command and control channel, indicating data collection and transmission to an external server.",int to ext,,,,,,8,Command and Control (C2),"The rule indicates a successful check-in from a Trojan Banker malware on Android, suggesting a compromised device communicating with a C2 server.","trojan,mobile,c2,exfiltration,Android**"
2812477,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects potential exploitation attempts against web client software, indicating an attack aimed at gaining initial access to the client endpoint through vulnerabilities in web browsers.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule indicates a potential exploit in progress targeting web clients, suggesting a successful compromise could occur, especially if observed with other exploit signatures.","client,exploit,web,targeted,Web_Client_Attacks**"
2812478,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects a potential exploit targeting vulnerabilities in web client software, specifically through a Java exploit, which aligns with initial access methods where attackers exploit weaknesses in public-facing applications to gain entry.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a possible exploit in a web client that could lead to a successful compromise of client endpoints, indicating a higher impact on security.","web,exploit,client,attack,Web_Client_Attacks**"
2812479,Initial Access,Exploit Public-Facing Application,T1190,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of vulnerabilities in web clients (browsers) through Java exploits, indicating an attempt to gain initial access to a system via malicious payloads.",ext to int,,,,,,7,Zero-Day Exploits,"The rule detects a potential successful exploitation attempt against client software vulnerabilities, which could lead to a compromise of the endpoint.","exploit,client,java,web,Web_Client_Attacks**"
2812480,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts against web client software, specifically targeting vulnerabilities that can lead to initial access via malicious payloads delivered through web browsers.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule indicates a potential successful exploit against client software, specifically targeting vulnerabilities that could lead to endpoint compromise, thus warranting a higher impact score.","client,exploit,http,web,Web_Client_Attacks**"
2812481,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule targets potential exploits against web browsers, indicating an attempt to compromise client endpoints through vulnerabilities in public-facing applications, which aligns with the Initial Access phase.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a possible exploit targeting client software, suggesting a successful compromise may occur if exploited, hence the score is above 5.","client,exploit,pdf,targeted,Web_Client_Attacks**"
2812482,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation of vulnerabilities in web browsers through payloads targeting client software, indicative of initial access attempts via drive-by downloads.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a possible exploit in a web client, indicating a successful compromise attempt targeting client endpoints, which can lead to significant security breaches.","client,exploit,web,targeted,Web_Client_Attacks**"
2812483,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts against web client software, indicative of initial access through vulnerabilities in public-facing applications like web browsers.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential client exploit in progress, indicating a successful compromise is likely, especially with known malicious servers involved.","client,exploit,targeted,web,Web_Client_Attacks**"
2812484,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of vulnerabilities in web browsers, which aligns with initial access techniques that leverage client-side exploits to compromise endpoints.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a possible exploit targeting web client software, indicating a successful compromise may be in progress, which poses a significant threat to client endpoints.","exploit,client,targeted,web,Web_Client_Attacks**"
2812485,Initial Access,Exploitation of Public-Facing Application,T1190,Exploitation of Client Application,T1203,"The rule detects potential exploitation of vulnerabilities in web client software (e.g., browsers) which is commonly used to gain initial access to a system through drive-by download attacks.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential exploit in a client application, indicating a successful compromise may be in progress, especially in conjunction with known malicious servers.","client,exploit,targeted,web,Web_Client_Attacks**"
2812487,Initial Access,Exploitation of Public-Facing Applications,T1190,Exploitation of Vulnerability,T1203,"The rule detects potential exploitation attempts targeting web client software vulnerabilities, indicating an attacker's attempt to gain initial access through malicious payloads.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential exploit payload targeting web client vulnerabilities, indicative of a successful compromise attempt, warranting a higher impact score.","client,exploit,payload,uri,Web_Client_Attacks**"
2812490,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests indicative of mobile malware communicating with a command and control server, which aligns with the Command and Control tactic and the technique of Exfiltration Over C2 Channel.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware variant, indicating potential ongoing compromise and data exfiltration.","mobile,trojan,c2,exfiltration,Android**"
2812495,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which can indicate the use of TOR for command and control purposes. This behavior is often associated with malware or other unauthorized activities, suggesting a potential command and control channel.",ext to int,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a known .onion domain, which may indicate potential TOR usage. However, it does not confirm a successful compromise, thus the impact score remains low.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812506,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects attempts to exploit a vulnerability in web browsers (CVE-2015-2502), which is indicative of initial access through client-side exploitation.",ext to int,CVE-2015-2502,8/19/15 10:59,5.9,2.8,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" as exploited in the wild in August 2015.",7,Malware,The rule detects an attempted exploit of a known vulnerability (CVE-2015-2502) that can lead to memory corruption and potential compromise of the client endpoint.,"memory,vulnerability,web,client,Web_Client_Attacks**"
2812514,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability (CVE-2015-2502) in a web browser, which is indicative of an initial access attempt via a client-side exploit.",ext to int,CVE-2015-2502,8/19/15 10:59,5.9,2.8,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" as exploited in the wild in August 2015.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2502) that can lead to successful exploitation of a web browser, indicating a high potential for compromise if exploited.","web,vulnerability,client,attack,Web_Client_Attacks**"
2812618,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potential covert DNS communication, which is commonly used by attackers to establish command and control channels.",ext to int,,,,,,6,Command and Control (C2),"The rule detects potential covert DNS communication indicative of a command and control channel, suggesting a successful compromise or ongoing malicious activity.","dns,covert,anomaly,policy"
2812619,Command and Control,Command and Control,TA0011,Application Layer Protocol: DNS,T1071.001,"The rule detects potential covert DNS communication, which is often used by attackers to establish Command and Control channels, indicating a Command and Control phase of an attack.",any to int,,,,,,5,Command and Control (C2),"The rule identifies potential covert DNS communication which could indicate a Command and Control channel, but does not confirm a successful compromise.","dns,covert,anomaly,policy"
2812629,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects HTTP responses indicative of exploit kits, which are commonly used to gain initial access to a target system through malicious redirects and payload delivery.",ext to int,,,,,,6,Malware,"The rule detects a potential successful exploitation via an exploit kit redirect, indicating a higher likelihood of compromise.","redirect,exploit,http,tds,TDS**"
2812632,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware check-in which indicates a command and control communication, characteristic of exfiltration activities where data is sent back to the attacker.",ext to int,,,,,,8,Malware,"The rule detects a successful check-in from a mobile malware variant, indicating an established connection to a command and control server, which poses a significant threat to the network.","mobile,trojan,c2,exfiltration,Android**"
2812664,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware Trojan that communicates with a command and control server, indicating that it is likely exfiltrating data over this channel.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from a mobile malware variant, indicating a compromised device communicating with a command and control server.","trojan,mobile,http,c2,Android**"
2812666,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests indicative of a mobile malware's check-in with its command and control server, which aligns with the tactic of Command and Control and the technique of Exfiltration Over C2 Channel.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule indicates a successful compromise with mobile malware targeting Android devices, specifically a trojan activity that could lead to data exfiltration over a command and control channel.","mobile,trojan,command,exfiltration,Android**"
2812668,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects specific XML patterns indicative of remote access tool activity, which is commonly associated with Command and Control communications.",int to ext,,,,,,4,Malware,"The rule detects activity related to a remote access tool, which may indicate potential misuse or unauthorized access, but does not confirm a successful compromise.","anomaly,policy,remote,activity"
2812680,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects network traffic associated with Aero Remote Admin, which is a remote access tool that could be used for unauthorized initial access to a network.",ext to int,,,,,,3,Miscellaneous,The rule detects potential anomalies related to remote administration tools but does not indicate a successful compromise.,"remoteaccess,anomaly,authorization,informational,RemoteAccessTool**"
2812681,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a specific response pattern from the Aero Remote Admin tool, which is indicative of command and control communication, suggesting that an attacker may be using this tool for remote access.",ext to int,,,,,,3,Misc-Activity,The rule indicates potential anomalous behavior related to a remote admin tool but does not confirm a successful compromise.,"beacon,remote,anomaly,info,RemoteAccessTool**"
2812682,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects specific UDP traffic patterns that may indicate the use of a remote administration tool, which is often used for command and control purposes in a compromised environment.",ext to int,,,,,,3,Miscellaneous,The rule detects a potential remote admin beacon but does not indicate a successful compromise. It is categorized as informational and should be treated as a low-priority alert.,"remoteaccess,beacon,anomaly,informational,RemoteAccessTool**"
2812694,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of exploit kits, which are commonly used to gain initial access to a target system by exploiting vulnerabilities in public-facing applications, such as Flash exploits.",ext to int,,,,,,7,Malware,"The rule detects traffic associated with an exploit kit, indicating a successful compromise attempt, thus justifying a higher impact score.","exploit,flash,kit,http"
2812695,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects exploit kits targeting vulnerabilities in web applications, indicating an attempt to gain initial access through exploiting public-facing applications.",ext to int,,,,,,8,Exploit Kit,"The rule detects traffic associated with an exploit kit, indicating a successful compromise attempt through Flash exploits.","exploit,flash,kit,http"
2812696,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of an exploit kit being used to deliver malicious payloads, which typically occurs during the initial access phase of an attack.",ext to int,,,,,,9,Advanced Persistent Threats (APTs),"The rule detects a successful compromise via an exploit kit, indicating a high risk of malware deployment on the internal network.","exploit,vbs,http,kit"
2812697,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit landing page that uses Java applets to deliver exploits, indicating an attempt to gain initial access to the network through vulnerabilities in public-facing applications.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a Java exploit redirect associated with an exploit kit, indicating a successful compromise attempt.","exploit,redirect,java,kit"
2812737,Discovery,Reconnaissance,TA0043,Network Service Discovery,T1046,"The rule detects SSL connections to a specific domain, which may indicate reconnaissance activity to identify external services and gather information about the network.",ext to int,,,,,,2,Malware,"The rule detects traffic to a known IP but does not indicate a successful compromise, thus a low impact score.","info,policy,anomaly,tls"
2812777,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule indicates detection of shellcode associated with the Metasploit Framework, which is often used to exploit vulnerabilities in public-facing applications to gain initial access to a network.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects active use of Metasploit Framework shellcode, indicating a successful compromise or an ongoing attack, which poses a high security risk.","exploit,shellcode,metasploit,penetration,Metasploit**"
2812779,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit targeting vulnerabilities in applications, indicating an attempt to gain initial access to the system.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a successful exploit attempt targeting a vulnerability in Firefox, indicating a high potential impact on the network.","exploit,http,file,kit"
2812782,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects TLS traffic to a specific domain (wtfismyip.com), which could indicate that an attacker is using this domain for command and control purposes, especially if it is part of a larger set of suspicious behaviors.",ext to int,,,,,,3,Malware,"The rule detects a benign IP check related to SSL certificates, which does not indicate a successful compromise.","tls,anomaly,policy,info"
2812854,Exfiltration,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects mobile malware communicating with a command and control server to exfiltrate user data, which aligns with the exfiltration phase of an attack.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a successful check-in from a mobile malware variant, indicating potential data exfiltration and malicious activity targeting mobile devices.","mobile,adware,command,exfiltration,Android**"
2812875,Discovery,Reconnaissance,TA0043,External Remote Services,T1133,"The rule detects HTTP requests to an external IP lookup service, which suggests the potential reconnaissance activity by an attacker to gather information about the target's IP address. This aligns with the Discovery phase of the attack lifecycle.",int to ext,,,,,,2,Phishing,The rule detects an external IP lookup which may indicate reconnaissance activity but does not confirm a successful compromise.,"iplookup,http,anomaly,external,IP_address_lookup_website**"
2812897,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The detection of DNS queries to .onion domains indicates potential use of the Tor network, which can be leveraged for Command and Control communications by malware, suggesting a need for further investigation into the legitimacy of the behavior.",ext to int,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate potential use of TOR for C2 or policy violations, but does not confirm a successful compromise.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812907,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule targets a known vulnerability in Microsoft Internet Explorer (CVE-2015-2483) that can be exploited via web browsers, indicating an initial access attempt through exploitation of a public-facing application.",ext to int,CVE-2015-2483,9/9/15 0:59,2.9,10,"Microsoft Internet Explorer 10 and 11 allows remote attackers to obtain sensitive information from process memory via a crafted web site, aka ""Information Disclosure Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects an exploit (CVE-2015-2483) targeting Microsoft Internet Explorer, indicating a successful compromise of a client endpoint, which can lead to further exploitation or data exfiltration.","memory,corruption,webclient,exploit,Web_Client_Attacks**"
2812908,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203.001,"The rule detects a vulnerability in Internet Explorer (CVE-2015-2485) that could be exploited to execute malicious code on the client endpoint, indicating an initial access attempt via exploitation.",ext to int,CVE-2015-2485,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 9 through 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2491 and CVE-2015-2541.",7,Advanced Persistent Threats (APTs),"The rule detects an attempt to exploit a known vulnerability (CVE-2015-2485) in Internet Explorer, indicating a successful compromise could lead to serious security breaches.","memory,vulnerability,webclient,exploit,Web_Client_Attacks**"
2812910,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer that can be exploited to execute malicious code on the client endpoint, indicating an initial access attempt through exploitation.",ext to int,CVE-2015-2491,9/9/15 0:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2485 and CVE-2015-2541.",8,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-2491) that can lead to a successful compromise of client endpoints, indicating a high impact on security.","web,exploit,client,vulnerability,Web_Client_Attacks**"
