sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2018000,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule detects communication from a mobile malware to its command and control server, indicating an established C2 channel which is used for exfiltration of data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful command-and-control (C2) beacon from a malware-infected Android device, indicating an ongoing compromise.","mobile,c2,beacon,spy,Android, c2**"
2018001,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule identifies command and control (C2) beacon traffic from a mobile malware that communicates back to the attacker, indicating an established C2 channel for data exfiltration.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful command-and-control beacon from a mobile malware variant, indicating an active compromise of a device.","mobile,c2,beacon,spy,Android, c2**"
2018002,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule detects a command and control (C2) beacon from a mobile malware, indicating that the malware is communicating with an external server for the purpose of exfiltrating data.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful command-and-control (C2) beacon from a mobile malware variant, indicating an active compromise of an endpoint.","c2,beacon,android,exfiltration,Android, c2**"
2018003,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule identifies command-and-control (C2) traffic from Android malware that is communicating with a server to exfiltrate information, indicating the presence of a C2 channel used for malicious purposes.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful command and control beacon from a mobile malware variant, indicating a compromised device actively communicating with an external server.","mobile,beacon,c2,spy,Android, c2**"
2018021,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP traffic to a known IP lookup service (myip.ru), which could indicate an attempt by malware to communicate with external command and control servers for exfiltration or further instructions.",int to ext,,,,,,2,Phishing,"The rule detects a benign IP lookup to myip.ru, which does not indicate a successful compromise but rather a potential policy violation.","info,lookup,anomaly,policy"
2018037,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects specific patterns in server responses that are indicative of malicious payloads aimed at exploiting client applications, which aligns with the Initial Access phase through methods such as drive-by compromises.",ext to int,,,,,,6,Malware,"The rule detects potentially malicious payloads indicative of trojan activity, suggesting a successful compromise.","cookie,abuse,trojan,client"
2018053,Initial Access,Drive-by Compromise,T1189,Malicious Redirect,T1071.001,"The rule detects a malicious redirect via a script tag which is commonly used in drive-by compromise attacks to exploit vulnerable clients, indicating an initial access attempt.",ext to int,,,,,,6,Malware,"The rule detects a potential successful compromise through a malicious redirect involving a script tag, indicating possible trojan activity.","redirect,script,trojan,web"
2018071,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects requests for a configuration file associated with Android malware, which indicates an initial attempt to compromise the device, aligning with the Initial Access phase.",ext to int,,,,,,7,Malware,"The rule detects a request for a configuration file associated with Android mobile malware, indicating a potential successful compromise of the device.","mobile,trojan,c2,android,Android**"
2018087,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects potential downloads of a Control Panel Applet (CPlApplet) file, which may indicate an attempt to exploit vulnerabilities through malicious file downloads, a common method for initial access.",ext to int,,,,,,3,Miscellaneous,"The rule detects a potential file download related to a control panel applet, which could be benign or part of a larger attack. However, it does not indicate a successful compromise, resulting in a lower impact score.","anomaly,info,file,download"
2018088,Initial Access,Drive-by Compromise,T1189,Malicious JavaScript,T1203.001,"The rule detects outbound cookies related to the BeEF framework, which is often used in drive-by compromise attacks targeting web browsers, indicating an initial access attempt through malicious JavaScript.",int to ext,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential successful compromise through the use of BeEF (Browser Exploitation Framework), which is often associated with advanced attacks targeting client endpoints.","web,client,cookie,attack,Web_Client_Attacks**"
2018089,Initial Access,Drive-by Compromise,T1189,Browser Exploitation Framework,T1203,"The rule detects potential exploitation of web browsers through the Browser Exploitation Framework (BeEF), which is commonly used in drive-by download attacks to gain initial access to client systems.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a potential successful compromise through exploitation of web client vulnerabilities, which aligns with APT behavior.","ssl,beef,client,exploitation,SSL_Malicious_Cert, Web_Client_Attacks**"
2018090,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation of web client vulnerabilities, indicative of a drive-by compromise where malicious payloads are delivered via web browsers.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a potential successful exploitation of a web client, which can lead to a compromise of the endpoint.","web,client,exploit,javascript,Web_Client_Attacks**"
2018145,Execution,Execution,TA0002,Command-Line Interface,T1059,"The rule detects patterns indicating potential heap spray techniques, which are often used to execute arbitrary code. This aligns with the Execution phase of an attack where malicious code is run on a target system.",ext to int,,,,,,4,Malware,"The rule detects potential heap spray techniques, which may indicate a malware delivery method. However, it does not confirm a successful compromise.","heap,anomaly,info,script"
2018146,Execution,Execution,TA0002,Command-Line Interface,T1059,"The rule detects potential heap spray techniques often used in exploits that execute malicious code, indicating an execution phase where the attacker aims to run arbitrary code on the target system.",ext to int,,,,,,4,Malware,The rule detects potentially malicious behavior (heap spray) but does not confirm a successful compromise.,"heap,anomaly,script,collection"
2018152,Initial Access,Exploit Public-Facing Application,T1190,Exploitation for Client Execution,T1203,"The rule detects attempts to exploit vulnerabilities in web browsers, which aligns with initial access through exploiting client applications, specifically targeting web clients to potentially deliver malicious payloads.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects potential exploitation of client-side vulnerabilities that could lead to a successful compromise, particularly through drive-by downloads, which aligns with APT tactics.","web,client,exploit,emulation,Web_Client_Attacks**"
2018170,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects anomalous HTTP traffic indicating a potential application crash report being sent to Microsoft, which could be indicative of malware attempting to communicate with a command and control server.",int to ext,,,,,,3,Policy Violation,"The rule indicates the transmission of an application crash report to Microsoft, which does not confirm a successful compromise but rather highlights a potential policy violation or anomaly.","anomaly,policy,http,report"
2018210,Command and Control,Command and Control,TA0011,Exfiltration Over C2 Channel,T1041,"The rule identifies a beaconing behavior indicative of command and control activity, where data may be exfiltrated over a channel established by the malware.",ext to int,,,,,,6,Command and Control (C2),"The rule detects potential command and control beaconing, indicating possible successful compromise and data exfiltration.","c2,beacon,adware,policy,c2**"
2018211,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP connections to a known dynamic DNS domain, which is often used by threat actors to establish command and control channels, indicating potential malicious activity.",int to ext,,,,,,3,Malware,"The rule detects traffic to a known DDNS domain associated with potentially malicious activity, but does not confirm a successful compromise.","http,dns,anomaly,connection"
2018213,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects HTTP connections to a dynamic DNS domain, which is often used by attackers for initial access to establish communication with compromised systems, indicating a potential entry point for malicious activity.",int to ext,,,,,,3,Command and Control (C2),"The rule detects a connection to a known DDNS domain, which could indicate potential command and control activity, but does not confirm a successful compromise.","ddns,http,anomaly,info"
2018214,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP connections to a known dynamic DNS domain, which is often used by attackers to establish command and control channels.",int to ext,,,,,,4,Malware,The rule detects a connection to a potentially malicious domain but does not confirm a successful compromise.,"http,anomaly,ddns,redirect"
2018215,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP connections to a known dynamic DNS domain, which is commonly used by attackers to establish command and control channels. This indicates potential malicious activity related to remote control of compromised systems.",int to ext,,,,,,3,Malware,"The rule detects a connection to a known DDNS domain which could be associated with malicious activity, but does not indicate a confirmed compromise.","http,ddns,anomaly,info"
2018216,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects HTTP connections to a known dynamic DNS domain, which is commonly associated with command and control activities, indicating potential malicious communication.",int to ext,,,,,,3,Malware,"The rule detects HTTP connections to a known dynamic DNS domain, which could be associated with malicious activity, but does not confirm a successful compromise.","http,ddns,anomaly,info"
2018217,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects HTTP connections to a Dynamic DNS domain, which is often used by attackers for Command and Control (C2) communications, indicating potential malicious activity.",int to ext,,,,,,3,Malware,"The rule detects a connection to a potentially suspicious domain, but does not indicate a successful compromise or malicious activity. It serves as an indicator for further investigation rather than a definitive threat.","ddns,http,anomaly,connection"
2018218,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects HTTP connections to a dynamic DNS domain, which is often used for command and control (C2) communication, indicating potential malicious activity.",int to ext,,,,,,3,Command and Control (C2),"The rule detects a connection to a known DDNS domain which could indicate potential C2 activity, but does not confirm a successful compromise.","http,ddns,anomaly,info"
2018222,Initial Access,Supply Chain Compromise,T1195,Compromise Software Supply Chain,T1195.002,"The rule detects HTTP requests related to InstallIQ Updater Software, which may indicate an attempt to compromise the software supply chain for initial access. This suggests that the attacker may be leveraging legitimate software to gain entry into the network.",ext to int,,,,,,3,Malware,"The rule detects anomalous traffic related to InstallIQ Updater, which could indicate potential unwanted software but does not confirm a successful compromise.","anomaly,http,policy,request"
2018223,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a specific SWF file commonly used in watering hole attacks, which are aimed at exploiting users visiting compromised websites, indicating an attempt at initial access.",int to ext,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects an exploit kit being used in a watering hole attack, indicating a successful compromise of users accessing the malicious SWF file, which poses a high risk.","exploit,wateringhole,http,kit"
2018297,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects encrypted binaries associated with exploit kits, indicating an attempt to exploit vulnerabilities in public-facing applications to gain initial access to the network.",ext to int,,,,,,8,Malware,"The rule detects an encrypted binary associated with an exploit kit, indicating a successful compromise rather than just a potential threat.","exploit,kit,encrypted,binary"
2018299,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects JavaScript-based attacks targeting web browsers, which are commonly used in drive-by download attacks to exploit vulnerabilities and gain initial access to client endpoints.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential exploit targeting vulnerabilities in web browsers, indicating a successful compromise could lead to significant risks such as remote code execution or data theft.","heap,javascript,client,trojan,Web_Client_Attacks**"
2018315,Initial Access,Drive-by Compromise,T1189,Malicious File Download,T1203,"The rule detects attempts to download a malicious RTF file exploiting vulnerabilities in web browsers, indicative of a drive-by download attack, which is a common method for initial access.",ext to int,CVE-2012-2539,12/12/12 0:55,5.9,1.8,"Microsoft Word 2003 SP3, 2007 SP2 and SP3, and 2010 SP1; Word Viewer; Office Compatibility Pack SP2 and SP3; and Office Web Apps 2010 SP1 allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via crafted RTF data, aka ""Word RTF 'listoverridecount' Remote Code Execution Vulnerability.""",6,Malware,"The rule detects a potential exploit targeting web browsers, indicating a successful compromise of the client endpoint, which warrants a higher impact score.","web,client,exploit,download,Web_Client_Attacks**"
2018402,Initial Access,Drive-by Compromise,T1189,Drive-by Compromise,T1189,"The rule detects potential exploitation attempts through a drive-by attack, where users are compromised via malicious content while browsing legitimate websites, indicating an initial access vector.",ext to int,,,,,,6,Zero-Day Exploits,"The rule indicates a possible successful compromise via a drive-by exploit, which is associated with exploit kits. Although further validation is needed, the presence of such traffic suggests a heightened risk of compromise.","driveby,exploit,web,malvertising,DriveBy**"
2018405,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects traffic associated with exploit kits that typically compromise users through malicious content while they are browsing legitimate websites, indicating an attempt at initial access.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),The rule indicates potential exploitation via a drive-by attack which may lead to a successful compromise if further malicious activity is observed.,"driveby,exploit,malvertising,client,DriveBy**"
2018406,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries that may indicate communication with a potentially malicious domain associated with dark web activities, which is often used for Command and Control purposes.",ext to int,,,,,,2,Malware,The rule detects a potential DNS query related to a dark web market but does not confirm a successful compromise.,"dns,anomaly,lookup,policy"
2018407,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects patterns indicative of exploit kits, which are often used to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",int to ext,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a specific exploit kit URI structure that indicates a successful compromise attempt, which poses a high security risk.","exploit,http,uri,kit"
2018409,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to download a malicious payload via a public-facing application, indicating an initial access attempt by an attacker.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a successful exploit download from an external source, indicating a high potential for compromise.","exploit,kit,download,silverlight"
2018411,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to download a Flash exploit, which is indicative of an initial access attempt through a public-facing application.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a download of an exploit associated with an exploit kit, indicating a successful compromise attempt.","exploit,download,http,kit"
2018434,Initial Access,Exploitation of Public-Facing Application,T1190,Exploitation of Vulnerability,T1203,"The rule detects potential exploitation of a vulnerability in the web browser via crash reports, indicative of an initial access attempt through a compromised application.",ext to int,cve-2014-1776,,,,,6,Advanced Persistent Threats (APTs),The rule indicates a potential compromise related to a known vulnerability (CVE-2014-1776) that can lead to memory corruption and exploitation of the client endpoint.,"memory,corruption,client,exploit,Web_Client_Attacks**"
2018436,Initial Access,Exploitation of Public-Facing Applications,TA0040,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a client application (web browser) through memory corruption vulnerabilities, which aligns with initial access tactics where attackers exploit vulnerabilities in public-facing applications to gain access.",ext to int,cve-2014-1776,,,,,7,Advanced Persistent Threats (APTs),The rule detects a potential exploitation of a known vulnerability (CVE-2014-1776) that could lead to a successful compromise of client endpoints through memory corruption.,"memory,corruption,client,exploit,Web_Client_Attacks**"
2018438,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a specific domain associated with DNS tunneling, which is commonly used for command and control communication.",ext to int,,,,,,4,Data Exfiltration,"The rule indicates potential DNS tunneling, which can be used for data exfiltration. However, it does not confirm a successful compromise, hence the score is below 5.","dns,tunneling,query,suspicious"
2018447,Initial Access,Drive-by Compromise,T1189,Exploitation of Client-side Vulnerabilities,T1203,"The rule detects payloads targeting vulnerabilities in web browsers, indicative of drive-by download attacks commonly used for initial access.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects potential exploitation of vulnerabilities in web clients, which can lead to successful compromises, particularly in the context of exploit kits targeting browsers.","webclient,exploitkit,base64,obfuscation,Web_Client_Attacks**"
2018451,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit (Nuclear EK) that targets vulnerabilities in client applications, typically through a malicious landing page, which aligns with the Initial Access phase of the attack lifecycle.",ext to int,,,,,,8,Malware,"The rule indicates potential successful exploitation by the Nuclear Exploit Kit, which is known to compromise client systems and install malware.","exploit,driveby,nuclear,landing,DriveBy, Exploit_Kit, Nuclear**"
2018472,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects potential exploit kit activity targeting users through compromised websites, indicative of initial access attempts via drive-by downloads.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects potential exploitation attempts from exploit kits, indicating a successful compromise may occur if further malicious activity is observed, thus warranting a higher impact score.","driveby,exploit,client,malicious,DriveBy**"
2018538,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects SSL certificates associated with known malware families, suggesting that the traffic may be indicative of initial access attempts via malicious content, such as exploit kits or malvertising, which often utilize SSL for obfuscation.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects the use of a known malicious SSL certificate, indicating a likely successful compromise or malicious activity on the client endpoint.","ssl,tor,proxy,anomaly,TOR Proxy**"
2018584,Initial Access,Initial Access,TA0001,Supply Chain Compromise,T1195,"The rule detects a POST request to a specific URI associated with mobile malware, indicating an attempt to exploit vulnerabilities in mobile applications, which aligns with initial access through compromised applications.",int to ext,,,,,,7,Malware,"The rule detects a specific malware activity targeting mobile devices with a defined payload, indicating a successful compromise.","mobile,trojan,http,payload"
2018656,Initial Access,Drive-by Compromise,T1189,Exploitation for Client Execution,T1203,"The rule targets vulnerabilities in web browsers to exploit client software, indicative of initial access through malicious web content.",ext to int,CVE-2014-4671,7/9/14 5:04,2.9,8.6,"Adobe Flash Player before 13.0.0.231 and 14.x before 14.0.0.145 on Windows and OS X and before 11.2.202.394 on Linux, Adobe AIR before 14.0.0.137 on Android, Adobe AIR SDK before 14.0.0.137, and Adobe AIR SDK & Compiler before 14.0.0.137 do not properly restrict the SWF file format, which allows remote attackers to conduct cross-site request forgery (CSRF) attacks against JSONP endpoints, and obtain sensitive information, via a crafted OBJECT element with SWF content satisfying the character-set requirements of a callback API.",6,Advanced Persistent Threats (APTs),"The rule detects an exploit targeting vulnerabilities in web browsers, indicating a successful compromise attempt.","web,client,attack,exploit,Web_Client_Attacks**"
2018657,Initial Access,Drive-by Compromise,T1189,Exploitation for Client Execution,T1203,"The Suricata rule detects attempts to exploit vulnerabilities in web clients, specifically targeting Adobe Flash Player, which aligns with initial access tactics through drive-by downloads often executed by exploit kits.",ext to int,CVE-2014-4671,7/9/14 5:04,2.9,8.6,"Adobe Flash Player before 13.0.0.231 and 14.x before 14.0.0.145 on Windows and OS X and before 11.2.202.394 on Linux, Adobe AIR before 14.0.0.137 on Android, Adobe AIR SDK before 14.0.0.137, and Adobe AIR SDK & Compiler before 14.0.0.137 do not properly restrict the SWF file format, which allows remote attackers to conduct cross-site request forgery (CSRF) attacks against JSONP endpoints, and obtain sensitive information, via a crafted OBJECT element with SWF content satisfying the character-set requirements of a callback API.",6,Advanced Persistent Threats (APTs),"The rule detects a specific exploit targeting Adobe Flash Player, which indicates a successful compromise attempt that could lead to further exploitation.","webclient,exploit,flash,jsonp,Web_Client_Attacks**"
2018658,Initial Access,Exploit Public-Facing Application,T1190,Exploitation for Client Execution,T1203,"The rule detects attempts to exploit vulnerabilities in web client software (e.g., Adobe Flash) to potentially compromise an endpoint, which aligns with the initial access phase of an attack.",ext to int,CVE-2014-4671,7/9/14 5:04,2.9,8.6,"Adobe Flash Player before 13.0.0.231 and 14.x before 14.0.0.145 on Windows and OS X and before 11.2.202.394 on Linux, Adobe AIR before 14.0.0.137 on Android, Adobe AIR SDK before 14.0.0.137, and Adobe AIR SDK & Compiler before 14.0.0.137 do not properly restrict the SWF file format, which allows remote attackers to conduct cross-site request forgery (CSRF) attacks against JSONP endpoints, and obtain sensitive information, via a crafted OBJECT element with SWF content satisfying the character-set requirements of a callback API.",7,Malware,"The rule detects an attempted exploit against Adobe Flash Player, indicating a successful compromise could lead to malware execution on client endpoints.","web,client,exploit,attempt,Web_Client_Attacks**"
2018663,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects Android spyware communicating with a command and control server using HTTP POST requests, indicating potential exfiltration of data over a controlled channel.",int to ext,,,,,,8,Command and Control (C2),"The rule detects a successful check-in of Android spyware, indicating active communication with a Command and Control server, which signifies a compromise.","mobile,spyware,command,exfiltration,Android**"
2018751,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule indicates the detection of an exploit kit, which is commonly used to gain initial access through vulnerabilities in public-facing applications.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule indicates a potential successful exploitation via an exploit kit, suggesting a high impact on network security.","exploit,redirection,kit,http"
2018789,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potential TOR SSL traffic, which is often used for command and control communications, indicating the presence of possible malicious activity attempting to obfuscate its network traffic.",any to any,,,,,,4,Malware,"The rule detects potential TOR SSL traffic, which may indicate obfuscation techniques used by malware, but does not confirm a successful compromise.","tls,anomaly,tor,info"
2018792,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects an Android malware variant that communicates with a command and control server, indicating an active C2 channel for data exfiltration.",ext to int,,,,,,7,Malware,"The rule detects a successful check-in from a mobile malware variant, indicating a potential compromise of an Android device, which can lead to further exploitation.","mobile,trojan,c2,malware,Android**"
2018875,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects DNS lookups for a known .onion proxy, which indicates potential use of Tor for accessing hidden services, commonly associated with initial access methods employed by attackers.",ext to int,,,,,,3,Malware,"The rule detects a DNS query for a known .onion proxy, indicating potential use for accessing hidden services, but does not confirm a successful compromise.","dns,proxy,anomaly,policy"
2018914,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a payload from the Nuclear Exploit Kit, which is designed to exploit vulnerabilities in client applications to gain initial access to systems.",ext to int,,,,,,8,Malware,"The rule detects a payload from the Nuclear Exploit Kit, indicating a successful compromise attempt which could lead to malware installation.","exploit,payload,nuclear,client,Exploit_Kit, Nuclear**"
2018918,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects DNS queries to a specific domain associated with potential data leakage from Xiaomi devices, indicating possible command and control communication.",any to any,,,,,,3,Data Breach,"The rule indicates a potential data leak due to DNS queries, but it does not confirm a successful compromise.","dns,leakage,anomaly,policy"
2018919,Collection,Collection,TA0009,Data from Information Repositories,T1213,"The rule indicates potential data leakage from Xiaomi devices, suggesting that sensitive user information may be collected and transmitted to an external server, which aligns with the Collection phase of the attack lifecycle.",int to ext,,,,,,4,Data Breach,"The rule indicates possible data leakage from Xiaomi phones, but does not confirm a successful compromise.","dataleak,anomaly,policy,http"
2018946,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a POST request indicating potential communication with a command and control server, commonly used by malware for exfiltration of data.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a check-in from mobile malware, indicating a successful compromise and potential ongoing control over the device.","mobile,trojan,command,exfiltration,Android**"
